Aldicarb=Toxic
Sodium selenite=Toxic
Stibine (Antimony hydride)=Toxic
Sulfotep=Toxic
Sulphur djchloride=Toxic
Tellurium hexafluoride=Toxic
TEPP=Toxic
2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)=Toxic
Tetramethylenedisulphotetramine=Toxic
Thionazin=Toxic
Tirpate (2,1-Dimethyl-1,3-dithiolane-2-carboxaldehyde 0-methylcarbamoyloxime)=Toxic
Trichloromethanesulphenyl chloride=Toxic
1-Tri (cyclohexyl) stannyl-1H-1,2,4-triazole=Toxic
Triethylenemelamine=Toxic
Warfarin=Toxic
Acetone cyanohydrin (2-Cyanopropan-2-01)=Hazardous
Acrolein (2-Propenal)=Hazardous
Acrylonitrile=Hazardous
Allyl alcohol (Propen-1-01)=Hazardous
Allylamine=Hazardous
Ammonia=Hazardous
Bromine=Hazardous
Carbon disulphide=Hazardous
Chlorine=Hazardous
Diphenyl methane di-socyanate (MDI)=Hazardous
Ethylene dibromide (1,2-Dibromoethane)=Hazardous
Ethyleneimine=Hazardous
Formaldehyde (concentration  90%)=Hazardous
Hydrogen chloride (liquified gas)=Hazardous
Hydrogen cyanide=Hazardous
Hydrogen fluoride=Hazardous
Hydrogen sulphide=Hazardous
Methyl bormide (Bromomethane)=Hazardous
Nitrogen oxides=Hazardous
Propyleneimine=Hazardous
Sulphur dioxide=Hazardous
Sulphur trioxide=Hazardous
Tetracthyl lead=Hazardous
Tetramethyl lead=Hazardous
Toluene di-isocyanate (TDI)=Hazardous
Acetyle (ethyne)=Reactive
a. Ammonium nitrate (1)=Reactive
b. Ammonium nitrate in form of fertiliser=Reactive
2,2-Bis (tert-butylperoxy) butane (concentration 70%)=Reactive
1,1-Bie (tert-buylperoxy) cyclohexane (concentration 80%)=Reactive
tert-Butyl peroxyacatqte (concentration 70%)=Reactive
tert-Buthyl peroxyisobutyrate (concentration 80%)=Reactive
tert-Butyl peroxy isopropyl carbonate (concentration 80%)=Reactive
tert-Butyl peroxymaleate (concentration 80%)=Reactive
tert-Butyl peroxyivalate (concentration 77%)=Reactive
Dibenzyl peroxydicarbonate (concentration 90%)=Reactive
Di-sec-butyl peroxydicarbonate (concentration 80%=Reactive
Diethyl peroxydicarbonate (concentration 30%)=Reactive
2,2-Dihydroperoxypropane (concentration 30%)=Reactive
Di-isobutyryl peroxide (Concentration 50%)=Reactive
Di-n-propyl peroydicarbonate (concentration 80%)=Reactive
Ethylene oxide=Reactive
Ethyl nitrate=Reactive
3,3,6,6,9,9-Hexamethyl-1,2,4,5-tetro-oxacyclononane (concentration 75%)=Reactive
Hydrogen=Reactive
Liquid oxygen=Reactive
Methyl ethyl ketone peroxide (concentration 60%)=Reactive
Methyl isobutyl ketone peroxide (concentration 60%)=Reactive
Peracetic acid (concentration 60%)=Reactive
Propylene oxide=Reactive
Sodium chlorate=Reactive
Barium azide=Explosive
Bis (2,4,6-trinitrophenyl) amine=Explosive
Chlorotrinitrobenzene=Explosive
Cellulose nitrate (containing 12.6% Nitrogen)=Explosive
Cyclotetramethylenetetranitramine=Explosive
Cyclotrimethylenetrinitramine=Explosive
Diazodinitrophenol=Explosive
Diethylene glycol dinitrate=Explosive
Dinitrophenol salts=Explosive
Ethylene glycol dinitrate=Explosive
1-Guanyl-4-nitrosaminoguanyl-1-tetrazene=Explosive
2,2,4,4,6,6-Hexanitrostibene=Explosive
Hydrazine nitrate=Explosive
Lead azide=Explosive
Lead styphnate (Lead 2,4,6-trinitroresorcinoxide)=Explosive
Mercury fulminate=Explosive
N-Methyl-N,2,4,6-tetranitroaniline=Explosive
Nitroglycerine=Explosive
Pentaerythritol teranitrate=Explosive
Picric acid (2,4,6-Trinitrophenol)=Explosive
Sodium picramate=Explosive
Styphnic acid (2,4,6-Trinitroresorcinol)=Explosive
1,3,5-Triamino-2,4,6-trinitrobenzene=Explosive
Trinitroaniline=Explosive
2,4,6-Trinitroarisole=Explosive
Trinitrobenzene=Explosive
Trinitrobenzoic acid=Explosive
Trinitrocresol=Explosive
2,4,6-Trinitrophenitole=Explosive
2,4,6-Trinitrotoluene=Explosive
